OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;NOTES
39;Denmark;Samso;1;2,3;Production;2018;5333,283238; 
40;Denmark;Sonderbjerg;;285;Planned;;7410,848109; 
41;Denmark;Stevns Nord;;350;Planned;;5186,762357; 
42;Denmark;Stokkebro;;210;Planned;;23265,80119; 
43;Denmark;Thybo;;4000;Planned;;115086,0186; 
44;Denmark;Thybo II;;1760;Planned;;45544,13602; 
45;Denmark;Tuno Knob;10;5;Production;1995;2972,107587; 
46;Denmark;Vesterhav Nord-Syd;;344;Approved;;7823,719896; 
47;Denmark;Vigso Bay;;450;Planned;;5189,609834; 
48;Denmark;Vikinge Banke;;1140;Planned;;173112,9498; 
49;Denmark;Vindeby-Lolland;11;4,95;Dismantled;1991;1676,312857;2017
50;Estonia;Area 1 - Eesti Energia;;1005;Planned;;12277,07761; 
51;Estonia;Area 2 - Eesti Energia;;1005;Planned;;13651,72717; 
52;Estonia;ELWIND;;1000;Planned;;10812,7116; 
53;Estonia;European Energy Estonia OÜ;;1000;Planned;;36846,35369; 
54;Estonia;Liivi Iaht;;960;Planned;;13628,2809; 
55;Estonia;Loode-Eesti Meretuulepark;200;1100;Planned;;8027,171153; 
56;Estonia;Nasva Offshore;;;Planned;;984,0870188; 
57;Estonia;Neugrund;38;234;Planned;;8226,240285; 
58;Estonia;Roheline Elekter;;;Planned;;15599,33216; 
59;Estonia;Ruhnu 1;;1000;Planned;;21355,62699; 
60;Estonia;Ruhnu 2;;1000;Planned;;20417,54488; 
61;Estonia;RWE Area 23;;2120;Planned;;38835,8673; 
62;Estonia;Saare;100;600;Planned;;17436,67701; 
63;Estonia;Saare Liivi 1;;1200;Planned;;23043,67636; 
64;Estonia;Saare Liivi 2;;1200;Planned;;19551,2175; 
65;Estonia;Saare Liivi 3;;1200;Planned;;18002,21338; 
66;Estonia;Saare Liivi 4;;1200;Planned;;22587,6116; 
67;Estonia;Saare Liivi 5;;5980;Planned;;146952,9418; 
68;Estonia;Sõrve;;1200;Planned;;17087,59829; 
69;Estonia;Sõrve 2;;1200;Planned;;15059,82755; 
70;Estonia;Sunly SW1;;84;Planned;;19392,69232; 
71;Estonia;Sunly SW10;;72;Planned;;25851,33145; 
72;Estonia;Sunly SW11;;108;Planned;;27920,97541; 
73;Estonia;Sunly SW12;;72;Planned;;23116,20209; 
74;Estonia;Sunly SW13;;72;Planned;;23116,20209; 
75;Estonia;Sunly SW2;;114;Planned;;15080,9391; 
76;Estonia;Sunly SW3;;144;Planned;;15706,99356; 
77;Estonia;Sunly SW4;;132;Planned;;11615,19806; 
78;Estonia;Sunly SW5;;84;Planned;;11157,10637; 
79;Estonia;Sunly SW6;;492;Planned;;13029,02031; 
80;Estonia;Sunly SW7;;252;Planned;;20115,39812; 
81;Estonia;Sunly SW8;;120;Planned;;25473,22234; 
82;Estonia;Sunly SW9;;120;Planned;;32967,48894; 
83;Estonia;Tuuletraal;;1050;Planned;;31280,16435; 
84;Finland;Ajos 1;1;3;Dismantled;2005;14,59668308;2016
85;Finland;Ajos 2-3;2;6;Dismantled;2008;617,8415592;2016
86;Finland;Ajos 4;1;3;Dismantled;2008;53,04014984;2016
87;Finland;Ajos 5;1;3;Dismantled;2007;627,5147217;2016
88;Finland;Ajos 6-7;2;6;Dismantled;2008;53,04014984;2016
89;Finland;Ajos 8-9-10-11;4;12;Dismantled;2008;53,04014984;2016
90;Finland;Ajos Repowering;8;26,4;Production;2017;787,9264653; 
91;Finland;Halla;;1920;Planned;;33096,25476; 
92;Finland;Inkoo;60;300;Planned;;4411,254665; 
93;Finland;Jakobstad;;800;Planned;;32691,16669; 
94;Finland;Kemi Ajos III;;189;Planned;;1272,295508; 
95;Finland;Korsnäs - Forststyrelsen;;;Planned;;15298,49182; 
96;Finland;Laine;;1800;Planned;;31855,12917; 
97;Finland;Noatun;;3000;Planned;;4968,366282; 
98;Finland;Noatun Syd;;3000;Planned;;14040,41979; 
99;Finland;Norrskar;;1550;Planned;;37726,72135; 
100;Finland;Pori Offshore 1;1;2,3;Production;2010;918,3750599; 
101;Finland;Pori-Tahkoluoto Extension;;;Planned;;4409,467396; 
102;Finland;Pori-Tahkoluoto Pori 2;10;42;Production;2017;5511,385051; 
103;Finland;Raahe Maanahkiaisen;70;350;Planned;;8449,569077; 
104;Finland;Raahe Pertunmatala;24;72;Planned;;7455,991538; 
105;Finland;Siipyyn;80;400;Planned;;9014,790725; 
106;Finland;Stormskar;;1725;Planned;;19827,31079; 
107;Finland;Tyrsky;;1400;Planned;;13064,90044; 
108;Finland;Ulkonahkiainen;70;210;Planned;;17882,33654; 
109;Finland;Vaderskar;;375;Planned;;6360,625103; 
110;Finland;Voima;;1500;Planned;;32503,27472; 
111;Finland;Wellamo;;2000;Planned;;16579,77092; 
112;France;AFLOWT France;;6;Planned;;5500,835013; 
113;France;Eolink 20 MW Prototype;;20;Planned;;6414,32643; 
114;France;Eolink Commercial;;250;Planned;;6414,32643; 
115;France;Eolink Démonstrateur;;5;Approved;;10339,6517; 
116;France;Eolink GW Scale;;1000;Planned;;6414,32643; 
117;France;Eolink Prototype;1;0,2;Dismantled;2018;406,0453311; 
118;France;FLOATGEN Demonstrator 1  IDEOL Gamesa;1;2;Production;2018;10604,74102; 
119;France;Golfe du Lion;3;30;Construction;;18817,98393; 
120;France;Ideol & Quadran Floating Project;;500;Planned;;27892,70008; 
121;France;Mistral;;10;Approved;;4899,105021; 
122;France;NextFloat;;6;Planned;;4796,078163; 
123;France;Provence Grand Large;3;25,2;Approved;;16766,3112; 
124;France;SEM-REV;;8;Production;2015;10400,68077; 
125;Germany;Alpha Ventus;6;30;Production;2009;42886,56279; 
126;Germany;Alpha Ventus;6;30;Production;2009;42886,56279; 
127;Germany;AquaPrimus;;28;Planned;;5263,970474; 
128;Germany;Arcadis Ost 1;27;256,5;Construction;;20295,04234; 
129;Germany;Arkona;60;384;Production;2018;35444,95028; 
130;Germany;Atlantis I;;613;Planned;;86637,28072; 
131;Germany;Baltic Eagle;83;476;Approved;;31161,49326; 
132;Germany;Borkum Riffgrund II;20;166,6;Production;2018;41846,56335; 
133;Germany;Borkum Riffgrund II;36;298,8;Production;2018;41846,56335; 
134;Germany;Borkum Riffgrund OWP West;;240;Approved;;58997,97532; 
135;Germany;Breitling;1;2,5;Production;2006;358,7922517; 
136;Germany;Emden Offshore;1;4,5;Production;2004;378,400967; 
137;Germany;EnBW Baltic 1;21;48,3;Production;2011;15179,4492; 
138;Germany;EnBW Baltic 2;80;288;Production;2015;36849,46727; 
139;Germany;Gennaker;103;865,2;Approved;;14212,01871; 
140;Germany;Gode Wind III;;111;Approved;;35336,82485; 
141;Germany;Gode Wind III;;131,75;Approved;;35336,82485; 
142;Germany;Hooksiel;1;5;Dismantled;2008;758,4019571;2016
143;Germany;Kaskasi;38;342;Production;2022;35425,74303; 
144;Germany;Meerwind Ost;40;151,2;Production;2015;26124,92927; 
145;Germany;Meerwind Süd;40;151,2;Production;2015;26124,92927; 
146;Germany;Nordlicht I;;930;Planned;;81616,68855; 
147;Germany;North Sea Cluster Delta Nordsee 1&2;;210;Planned;;41713,65941; 
148;Germany;North Sea Cluster Gode Wind;;225;Planned;;37361,86839; 
149;Germany;North Sea Cluster Nordsee Two;;433;Planned;;43159,1357; 
150;Germany;Wikinger Offshore;70;366,1;Production;2017;38945,14245; 
151;Germany;Wikinger Süd;;10;Planned;;40204,86591; 
152;Germany;Windanker;;300;Planned;;42328,25508; 
153;Greece;Aegean Islands;;;Planned;;31873,25497; 
154;Greece;Diapontia Wind phase Five;4;20;Planned;;910,6565296; 
155;Greece;Diapontia Wind phase Nine;6;30;Planned;;4909,969733; 
156;Greece;Diapontia Wind phase Seven;3;15;Planned;;4125,546608; 
157;Greece;Diapontia Wind phase Six;4;20;Planned;;1494,483331; 
158;Greece;Musica 1;;;Planned;;2751,752447; 
159;Greece;Musica 2;;;Planned;;4009,577221; 
160;Greece;Thrakiki Wind 1 Thrakiki Aioliki 1;;24;Planned;;1711,239098; 
161;Greece;Thrakiki Wind 1 Thrakiki Aioliki 2;;24;Planned;;1120,366528; 
162;Greece;Thrakiki Wind 1 Thrakiki Aioliki 3;;24;Planned;;1214,251514; 
163;Greece;Thrakiki Wind 1 Thrakiki Aioliki 4;;24;Planned;;1924,170218; 
164;Greece;Thrakiki Wind 1 Thrakiki Aioliki 5;;24;Planned;;2228,273086; 
165;Greece;Thrakiki Wind 1 Thrakiki Aioliki 6;;24;Planned;;3029,678313; 
166;Greece;Thrakiki Wind 1 Thrakiki Aioliki 7;;24;Planned;;1918,792909; 
167;Greece;Thrakiki Wind 1 Thrakiki Aioliki 8;;24;Planned;;2472,113007; 
168;Greece;Thrakiki Wind 1 Thrakiki Aioliki 9;;24;Planned;;2868,281717; 
169;Ireland;Aniar Offshore Array Phase 1;;500;Planned;;12758,76014; 
170;Ireland;Aniar Offshore Array Phase 2;;500;Planned;;19210,47663; 
171;Ireland;Arranmore Wind;;1000;Planned;;20102,22746; 
172;Ireland;Atlantic Marine Energy Test Site;;10;Test site;;10314,88811; 
173;Ireland;Banba Wind;;1000;Planned;;13553,62732; 
174;Ireland;Blackwater;;1500;Planned;;34688,58512; 
175;Ireland;Bore Array;;500;Planned;;16347,51243; 
176;Ireland;Celtic Horizon;;700;Planned;;14206,14707; 
177;Ireland;Celtic Offshore Renewable Energy;;1680;Planned;;67589,98255; 
178;Ireland;Celtic One;;800;Planned;;21928,75938; 
179;Ireland;Celtic Two;;800;Planned;;64429,09864; 
180;Ireland;Clarus;;1000;Planned;;27917,57028; 
181;Ireland;Cork Offshore Wind;;1000;Planned;;31014,59518; 
182;Ireland;Dublin;;2500;Planned;;9205,841808; 
183;Ireland;East Celtic;;900;Planned;;19662,61629; 
184;Ireland;Emerald - Commercial;;700;Planned;;41647,6605; 
185;Ireland;Emerald - Demonstration;;300;Planned;;41647,6605; 
186;Ireland;Greystones;;1000;Planned;;24171,78649; 
187;Ireland;Haven Offshore Array;;;Planned;;29137,58406; 
188;Ireland;Helvick Head;;800;Planned;;18322,47782; 
189;Ireland;Ilen Array;;1500;Planned;;8416,235749; 
190;Ireland;Inis Offshore Wind Kerry;;1000;Planned;;10083,52626; 
191;Ireland;Inis Offshore Wind Leinster;;500;Planned;;27481,82176; 
192;Ireland;Inis Offshore Wind Munster;;1000;Planned;;17174,93414; 
193;Ireland;Kinsale;;1000;Planned;;24161,79795; 
194;Ireland;Latitude 52;;1000;Planned;;19402,09475; 
195;Ireland;Lir Offshore Array;;2000;Planned;;13995,82862; 
196;Ireland;Loch Garman;;750;Planned;;7505,284528; 
197;Ireland;Mac Lir Offshore Wind;;1000;Planned;;26066,33044; 
198;Ireland;Malin Wind;;1000;Planned;;34479,73628; 
199;Ireland;Moneypoint Offshore One;;400;Planned;;20416,31856; 
200;Ireland;Moneypoint Offshore Two;;1100;Planned;;38973,07209; 
201;Ireland;Péarla Offshore Windfarm;;1000;Planned;;51821,38941; 
202;Ireland;Réalt na Mara;;1600;Planned;;11667,73528; 
203;Ireland;Rian Offshore Array Phase 1;;2500;Planned;;48923,54729; 
204;Ireland;Rian Offshore Array Phase 2;;;Planned;;51419,34088; 
205;Ireland;Sea Stacks;;800;Planned;;11416,60365; 
206;Ireland;Setanta;;1000;Planned;;19567,17986; 
207;Ireland;Shelmalere;;1000;Planned;;17654,75513; 
208;Ireland;SmartBay;;;Planned;;1424,280186; 
209;Ireland;SSE Renewables Celtic Sea;;800;Planned;;16514,85217; 
210;Ireland;Sunrise Wind (IE);;1330;Planned;;17107,54645; 
211;Ireland;Tralee;;2500;Planned;;2140,106879; 
212;Ireland;Tulca Offshore Array Phase 1;;1650;Planned;;18193,85327; 
213;Ireland;Tulca Offshore Array Phase 2;;2240;Planned;;19099,28738; 
214;Ireland;Urban Sea;;4000;Planned;;16354,16555; 
215;Ireland;Valentia Phase 1;;920;Planned;;19409,60345; 
216;Ireland;Valentia Phase 2;;620;Planned;;23496,50135; 
217;Ireland;Voyage Offshore Array;;2900;Planned;;67873,23568; 
218;Ireland;West Ireland;;2000;Planned;;52006,76065; 
219;Ireland;Western Star Floating Wind;;1350;Planned;;21255,37708; 
220;Ireland;Wexford;;2500;Planned;;60765,5433; 
221;Ireland;Wicklow;;500;Planned;;22755,11903; 
222;Italy;Abruzzo 1;;1760;Planned;;18259,08089; 
223;Italy;Agnes 1;;120;Planned;;33442,38329; 
224;Italy;Agnes 2;;400;Planned;;35486,6891; 
225;Italy;APENESTE Offshore;;915;Planned;;32573,84807; 
226;Italy;Bari;;600;Planned;;80280,02152; 
227;Italy;Barium Bay;;1100;Planned;;19715,01549; 
228;Italy;Barletta Offshore;;840;Planned;;29216,69684; 
229;Italy;Bluwind Brindisi;;840;Planned;;25755,40727; 
230;Italy;Bluwind Civitavecchia;;870;Planned;;27196,12495; 
231;Italy;Bluwind Pozzallo;;975;Planned;;32491,29526; 
232;Italy;BNW;;504;Planned;;35702,26082; 
233;Italy;Brenda Energia;;741;Planned;;22821,14139; 
234;Italy;BRN;;504;Planned;;25025,64988; 
235;Italy;Calabria;37;555;Planned;;25216,5215; 
236;Italy;Calypso;;600;Planned;;28887,34114; 
237;Italy;Centrale Eolica Offshore Brindisi;;108;Planned;;5596,065427; 
238;Italy;Civitavecchia A;;225;Planned;;22685,71805; 
239;Italy;Civitavecchia B;;375;Planned;;23916,43305; 
240;Italy;Del Toro 1;;293;Planned;;15370,4536; 
241;Italy;Del Toro 2;;293;Planned;;21813,08609; 
242;Italy;Elymo A;;858;Planned;;53301,98029; 
243;Italy;Elymo B;;435;Planned;;30026,42477; 
244;Italy;Fortevento;;585;Planned;;8350,591185; 
245;Italy;Golfo di Taranto;;1500;Planned;;9004,045827; 
246;Italy;Gulf of Gela;;384;Planned;;52516,10548; 
247;Italy;HyMed;;3200;Planned;;26186,88164; 
248;Italy;Iron Solar;;525;Planned;;18609,38934; 
249;Italy;Kailia Energia;;1176;Planned;;8714,477254; 
250;Italy;Krimisa;;1100;Planned;;37422,97882; 
251;Italy;Lupiae Maris;;525;Planned;;18609,38934; 
252;Italy;Marche 1;;500;Planned;;11592,56203; 
253;Italy;Mazara del Vallo Offshore;;1110;Planned;;61559,83612; 
254;Italy;Medio Adriatico;;800;Planned;;10491,78483; 
255;Italy;MedWind;;2793;Planned;;53379,39877; 
256;Italy;Messapia;;1300;Planned;;25833,0483; 
257;Italy;Minervia Energia;;675;Planned;;17026,7404; 
258;Italy;MoDiCa;;510;Planned;;10693,75693; 
259;Italy;MoDiCa 2;;510;Planned;;15865,12128; 
260;Italy;Molise;;1800;Planned;;38517,32241; 
261;Italy;Monopoli;;600;Planned;;61588,38379; 
262;Italy;NEREUS Offshore;;2205;Planned;;33274,74452; 
263;Italy;Nora Energia 1;;795;Planned;;7329,507789; 
264;Italy;Nora Energia 2;;600;Planned;;13809,48218; 
265;Italy;Northwestern Tyrrhenian Sea;;1008;Planned;;49323,92702; 
266;Italy;Nurax;;462;Planned;;38511,0135; 
267;Italy;Odra Energia;;1350;Planned;;15724,14329; 
268;Italy;Ostro;;600;Planned;;5855,157376; 
269;Italy;Pozzallo Offshore;;800;Planned;;42634,09371; 
270;Italy;Puglia A;;1005;Planned;;9489,889017; 
271;Italy;Puglia B;;930;Planned;;6708,387967; 
272;Italy;Rimini;;330;Planned;;15825,35907; 
273;Italy;Sardegna;;480;Planned;;38609,67517; 
274;Italy;Sardegna 1;;550;Planned;;15460,48741; 
275;Italy;Sardegna 2;;825;Planned;;15901,06538; 
276;Italy;Sardinia;;510;Planned;;25533,17732; 
277;Italy;Sardinia - GreenIT-CIP;;500;Planned;;16188,385; 
278;Italy;Sardinia Northeast - AvenHexicon;;2150;Planned;;32746,45011; 
279;Italy;Sardinia Northwest - AvenHexicon;;1350;Planned;;27874,84539; 
280;Italy;Seabass;;810;Planned;;21172,86981; 
281;Italy;Sicilia A;;1020;Planned;;48857,75475; 
282;Italy;Sicilia B;;1005;Planned;;48857,75475; 
283;Italy;Sicily;;504;Planned;;52663,39862; 
284;Italy;Sicily;;504;Planned;;52663,39862; 
285;Italy;Sicily - GreenIT-CIP;;250;Planned;;11704,03056; 
286;Italy;Sicily South - AvenHexicon;;1200;Planned;;24616,52451; 
287;Italy;Stretto di Sicilia;;228;Planned;;44012,73675; 
288;Italy;Taranto Offshore;10;30;Production;2022;1422,356469; 
289;Italy;Thalassa;;525;Planned;;37188,42988; 
290;Italy;Tibula Energia;;975;Planned;;12021,75123; 
291;Italy;Veneto 1;;500;Planned;;21020,94931; 
292;Italy;Vieste;;1200;Planned;;24919,04805; 
293;Italy;Zefiro;168;2016;Planned;;45234,2054; 
294;Latvia;Baltic Wind Park Phase 1;;200;Planned;;17203,50386; 
295;Latvia;Baltic Wind Park Phase 2;;300;Planned;;17203,50386; 
296;Latvia;JK Energy;;900;Planned;;6683,840607; 
297;Lithuania;Lithuanian Tender 1;;700;Planned;;36262,42833; 
298;Lithuania;Lithuanian Tender 2;;700;Planned;;48868,5823; 
299;Netherlands;Borssele Site V;;19;Production;2020;35684,96769; 
300;Netherlands;Eneco Luchterduinen;43;129;Production;2015;23795,13894; 
301;Netherlands;Gemini;75;300;Production;2016;60905,85922; 
302;Netherlands;Hollandse Kust Noord Holland I - II;;759;Construction;;24155,10501; 
303;Netherlands;Hollandse Kust West VI;;756;Planned;;54946,41397; 
304;Netherlands;Hollandse Kust West VII;;760;Planned;;60444,20444; 
305;Netherlands;Hollandse Kust Zuid Holland I - II;70;770;Construction;;25894,52504; 
306;Netherlands;Hollandse Kust Zuid Holland III - IV;70;770;Construction;;25777,04183; 
307;Netherlands;Irene Vorrink I;19;11,4;Dismantled;1996;6875,12849;2022
308;Netherlands;Irene Vorrink II;9;5,4;Dismantled;1997;6875,12849;2022
309;Netherlands;Lely;4;2;Dismantled;1997;15813,80547;2016
310;Netherlands;Westermeerdijk buitendijks;48;144;Production;2016;6769,24356; 
311;Netherlands;Windpark Fryslân;89;382,7;Production;2021;4100,121942; 
312;Netherlands;Windplanblauw;24;132;Construction;;6714,939265; 
313;Norway;Bluewater - Metcentre;;15;Planned;;10442,38513; 
314;Norway;Draugen;;;Planned;;58897,11242; 
315;Norway;Flagship - Metcentre;;10;Approved;;9225,51976; 
316;Norway;Hywind Metcentre;1;2,3;Production;2009;8167,630057; 
317;Norway;Hywind Tampen;11;88;Construction;;100489,0735; 
318;Norway;Marine Energy Test Centre Karmoy Fixed;2;10;Test site;2019;5360,022566; 
319;Norway;Marine Energy Test Centre Karmoy Floating;2;10;Test site;2019;5360,022566; 
320;Norway;SeaTwirl S2;1;1;Approved;;374,2737102; 
321;Norway;Sorlige Nordsjo II Phase 1;;1000;Planned;;176650,0102; 
322;Norway;Sorlige Nordsjo II Phase 2;;1000;Planned;;176650,0102; 
323;Norway;Sorlige Nordsjo II Phase 3;;1000;Planned;;176650,0102; 
324;Norway;TetraSpar Demonstrator;;3,6;Production;2021;9479,077309; 
325;Norway;Trollvind;;1000;Planned;;37798,46241; 
326;Norway;TwinWay - Metcentre;;6;Planned;;9872,900814; 
327;Norway;WIN WIN prototype;;6;Planned;;1373,629067; 
328;Norway;Windcatcher;;75;Planned;;1267,844529; 
329;Poland;A-Wind;90;450;Planned;;25390,21699; 
330;Poland;Baltex 2;;560;Planned;;49142,35112; 
331;Poland;Baltic Power;;1200;Planned;;28426,90698; 
332;Poland;Baltica 1;;900;Planned;;68610,91383; 
333;Poland;Baltica 2;;1498;Planned;;38842,06607; 
334;Poland;Baltica 3;;1045,5;Planned;;33058,53381; 
335;Poland;Baltyk I Phase 1;190;1140;Planned;;51081,33172; 
336;Poland;Baltyk I Phase 2;70;420;Planned;;57895,82734; 
337;Poland;Baltyk II;;720;Planned;;38794,62712; 
338;Poland;Baltyk III;;720;Planned;;26496,00776; 
339;Poland;B-Wind;;200;Planned;;25173,27464; 
340;Poland;C-Wind;;200;Planned;;27729,06227; 
341;Poland;FEW Baltic II;;350;Planned;;30662,33922; 
342;Poland;Licence Application No. 69;;383;Planned;;34802,16648; 
343;Poland;Licence Application No. 71;;1650;Planned;;25016,33425; 
344;Poland;Licence Application No. 72;;677;Planned;;33529,34459; 
345;Poland;Licence Application No. 73;;800;Planned;;87846,30918; 
346;Poland;Licence Application No. 74;;730;Planned;;26035,0105; 
347;Poland;Licence Application No. 75;;;Planned;;22213,73061; 
348;Poland;Licence Application No. 76;;14;Planned;;26149,80157; 
349;Poland;Licence Application No. 77;;27,4;Planned;;28450,7922; 
350;Poland;Licence Application No. 78;;173,45;Planned;;36251,34676; 
351;Poland;Licence Application No. 79;;194;Planned;;32523,70331; 
352;Poland;MEP EAST 2;;;Planned;;46598,52891; 
353;Poland;NEPTUN;;;Planned;;29979,64131; 
354;Poland;Pomorze II;;611;Planned;;43443,51578; 
355;Poland;Pomorze III;;611;Planned;;39428,09351; 
356;Poland;Sea Wind Kliwer;;;Planned;;48170,00556; 
357;Poland;Sharco I;;383;Planned;;32870,86204; 
358;Poland;Sharco II;;383;Planned;;32750,50137; 
359;Portugal;Nortada;;2000;Planned;;17265,34408; 
360;Portugal;Offshore Island Porto Santo;;10;Planned;;4065,208957; 
361;Portugal;Viana do Castelo;;600;Planned;;14473,39584; 
362;Portugal;WavEC;;2;Planned;;10325,87023; 
363;Portugal;WindFloat Prototype;1;2;Dismantled;2012;6019,182706;2016
364;Romania;Black Sea 1;;500;Planned;;4083,551254; 
365;Romania;Black Sea 2;;1400;Planned;;4118,987119; 
366;Spain;Albaicin;;510;Planned;;6912,988645; 
367;Spain;Alisio Offshore;;49,9;Planned;;3959,873127; 
368;Spain;Alwind;;300;Planned;;4836,639196; 
369;Spain;Andamana;;240;Planned;;9573,47496; 
370;Spain;Archime 3;;1,5;Planned;;2138,234592; 
371;Spain;Atlantida;;300;Planned;;9433,525535; 
372;Spain;Bandama Offshore;;195;Planned;;2876,103465; 
373;Spain;Breogan;;510;Planned;;4756,971147; 
374;Spain;Cabildo;;49,9;Planned;;5149,766499; 
375;Spain;CanArray;;48;Planned;;5205,567661; 
376;Spain;CanArray II;;132;Planned;;6053,231409; 
377;Spain;Canary Island Test Area;;310;Test site;;20234,40281; 
378;Spain;Canawind 1;;250;Planned;;8533,283903; 
379;Spain;Canawind 2;;250;Planned;;8207,455265; 
380;Spain;Cardon;;50;Planned;;11214,22594; 
381;Spain;Catwind;;1200;Planned;;20256,4717; 
382;Spain;Celta I;;495;Planned;;30242,69439; 
383;Spain;Celta II;;510;Planned;;35102,80538; 
384;Spain;Colombino;;49,9;Planned;;4623,878751; 
385;Spain;Creus;;510;Planned;;18611,49727; 
386;Spain;DemoSATH;1;2;Construction;;3765,704496; 
387;Spain;DUNAS;;50;Planned;;8376,031338; 
388;Spain;Elican;1;5;Production;2018;3211,174072; 
389;Spain;Floating Power Plant - PLOCAN;;8;Approved;;4643,189864; 
390;Spain;Flocan 5;5;25;Planned;;6224,221359; 
391;Spain;FLOTANT;;10;Planned;;54037,35598; 
392;Spain;FOWCA;;225;Planned;;9832,741347; 
393;Spain;Galwind;;1000;Planned;;7371,829206; 
394;Spain;Gamesa 5MW Test Turbine;1;4,5;Test site;2013;22,36593438; 
395;Spain;Gavina;;500;Planned;;16263,47388; 
396;Spain;GEROA;;45;Planned;;9344,529923; 
397;Spain;Gofio;;50;Planned;;6469,002336; 
398;Spain;Gran Canaria Este;;144;Planned;;8348,946905; 
399;Spain;Gran Canaria Offshore;;210;Planned;;14009,81806; 
400;Spain;Granadilla;;50;Planned;;1082,323589; 
401;Spain;Guanche;;50;Planned;;7332,08511; 
402;Spain;L’Emporda;;510;Planned;;18426,71379; 
403;Spain;Lanzarote Este;;50;Planned;;4146,672463; 
404;Spain;Mar de Agata;;300;Planned;;9514,412806; 
405;Spain;Marino Drago;;260;Planned;;8347,726317; 
406;Spain;Marino Maresia;;254;Planned;;9727,838334; 
407;Spain;Medfloat Pilot Parc;;50;Planned;;10028,18534; 
408;Spain;Mencey;;150;Planned;;6918,857716; 
409;Spain;Mojo;;50;Planned;;9653,714084; 
410;Spain;MPS demo - BiMEP;;2,5;Planned;;2730,413479; 
411;Spain;Multiplat 2;;10;Planned;;4643,189864; 
412;Spain;Musica 4;;;Planned;;4560,567976; 
413;Spain;Nao Victoria;;990;Planned;;7992,516706; 
414;Spain;Nautilus (ES);;2;Planned;;16461,40101; 
415;Spain;Nordes Phase 1;;525;Planned;;56960,28129; 
416;Spain;Nordes Phase 2;;675;Planned;;56960,28129; 
417;Spain;Ocean H2;;6;Planned;;37629,06633; 
418;Spain;Pejeverde;;225;Planned;;6000,550564; 
419;Spain;Pivot Buoy - PLOCAN;;0,22;Construction;;2796,178625; 
420;Spain;Plocan;5;50;Production;2017;3211,174072; 
421;Spain;PLOCAN hybrid floating;;2;Planned;;52946,79103; 
422;Spain;PLOCAN W2Power WIP10 Scale prototype;1;0,2;Dismantled;;2592,062956; 
423;Spain;Sahariano;;49,9;Planned;;4137,384509; 
424;Spain;Salinas I;;49,9;Planned;;9791,659921; 
425;Spain;San Augustin I;;49,9;Planned;;9420,232152; 
