upload_date;country_name;country_code;year;supra_reg;fishing_tech;vessel_length;geo_indicator;gear;fishery;activity;cluster_name;fs_name;variable_group;variable_name;variable_code;value;unit;fromtable;framework;template_name
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Days at sea;totseadays;1941;day;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Days at sea;totseadays;2322;day;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Days at sea;totseadays;2220;day;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;kW fishing days;totkwfishdays;3.074.338.515;kWday;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;kW fishing days;totkwfishdays;349.865.582;kWday;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;kW fishing days;totkwfishdays;3.346.032.215;kWday;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;GT fishing days;totgtfishdays;99353;GTday;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;GT fishing days;totgtfishdays;108734;GTday;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;GT fishing days;totgtfishdays;104283;GTday;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Maximum days at sea;maxseadays;;day;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Maximum days at sea;maxseadays;;day;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Maximum days at sea;maxseadays;;day;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Number of fishing trips;tottrips;1904;number;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Number of fishing trips;tottrips;2315;number;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Number of fishing trips;tottrips;2155;number;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Energy consumption;totenercons;1.148.877.261;litre;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Energy consumption;totenercons;8.468.529.089;litre;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Effort;Energy consumption;totenercons;1277721.47;litre;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Total assets;assets;28361199.47;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Total assets;assets;33137576.49;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Total assets;assets;28732925.03;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Gross debt;debts;19835946.81;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Gross debt;debts;16494744.73;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Gross debt;debts;22700291.84;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Investments;totinvest;3.234.262.604;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Investments;totinvest;2.217.461.495;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Investments;totinvest;6.891.972.692;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Value of physical capital;totdeprep;23780506.65;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Value of physical capital;totdeprep;21159381.22;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Value of physical capital;totdeprep;20165184.76;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Value of quota and other fishing rights;totrights;8.173.157.141;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Value of quota and other fishing rights;totrights;9.674.494.147;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Capital;Value of quota and other fishing rights;totrights;7.209.326.364;euro;map_fs;map;map_fs
