country_code year quarter vessel_length fishing_tech gear_type target_assemblage mesh_size_range metier supra_region sub_region eez_indicator geo_indicator specon_tech deep rectangle_type rectangle_lat rectangle_lon c_square totfishdays confidential
15 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 49.75 0.5 NA 1 N
16 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.25 -0.5 NA 3 N
17 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.25 0.5 NA 126.1666666667 N
18 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.25 1.5 NA 6.5 N
19 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.75 -0.5 NA 9.3333333333 N
20 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.75 0.5 NA 34 N
21 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.25 -5.5 NA 1 N
22 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.6.A NA NGI NK NA 05*1 55.75 -5.5 NA 1 N
23 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 52.25 -5.5 NA 2 N
24 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 52.25 -4.5 NA 20 N
25 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 52.75 -4.5 NA 1 N
26 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -4.5 NA 9.5 N
